inchikey,activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,np_score,short_inchikey,wikidata_id
AIDGLAMVVCJSQJ-UHFFFAOYSA-N,,CHEMBL873011,Cl.NC1=NC(Cc2ccccc2)CC1,,CHEMBL1131100,J Med Chem,CHEMBL540824,=,=,Inhibition,%,26.0,CHEMBL4481,"Nitric oxide synthase, inducible",Inhibition,%,26.0,Cl.NC1=NC(Cc2ccccc2)CC1,0.2424301861497285,AIDGLAMVVCJSQJ,no_wikidata_match
AINOZXUWKRFZDV-DTWKUNHWSA-N,,CHEMBL851343,NC1=Nc2ccc(C(F)(F)F)cc2[C@H]2CCC[C@@H]12,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL313001,=,=,Ratio,nM,56.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,56.0,NC1=Nc2ccc(C(F)(F)F)cc2[C@H]2CCC[C@@H]12,-0.4394641946377167,AINOZXUWKRFZDV,no_wikidata_match
AJIPIXAYNVCKAL-UHFFFAOYSA-N,,CHEMBL700501,Cc1ccc2nc(O)oc2n1,,CHEMBL1129221,Bioorg Med Chem Lett,CHEMBL97163,=,=,IC50,nM,7400.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,7.4,Cc1ccc2nc(O)oc2n1,-0.9929511524608092,AJIPIXAYNVCKAL,no_wikidata_match
AKEUNCKRJATALU-UHFFFAOYSA-N,,CHEMBL1664436,O=C(O)c1c(O)cccc1O,,CHEMBL1649420,J Med Chem,CHEMBL454808,=,=,Inhibition,%,17.0,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,17.0,O=C(O)c1c(O)cccc1O,0.6224535674430638,AKEUNCKRJATALU,http://www.wikidata.org/entity/Q4596804
AKISCYHRJRBFFV-OUKQBFOZSA-N,,CHEMBL4355264,CCCc1nn(C)c2c(NC(C)C)nc(/C=C/c3ccccc3)nc12,,CHEMBL4354797,J Med Chem,CHEMBL4446503,=,=,IC50,nM,8460.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,8.46,CCCc1nn(C)c2c(NC(C)C)nc(/C=C/c3ccccc3)nc12,-0.757205940707452,AKISCYHRJRBFFV,no_wikidata_match
AKOSZLBIPKPADG-UHFFFAOYSA-N,,CHEMBL701146,NC1=NC(c2ccc(F)cc2)Nc2cccc(F)c21,,CHEMBL1136724,J Med Chem,CHEMBL354516,=,=,IC50,nM,50.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,0.05,NC1=NC(c2ccc(F)cc2)Nc2cccc(F)c21,-0.8882979127706893,AKOSZLBIPKPADG,no_wikidata_match
AKRCKJOKFKEMIF-UHFFFAOYSA-N,,CHEMBL3820408,Cc1cc(N)nc(CCc2cncc(N3CCCCC3)c2)c1,,CHEMBL3817743,J Med Chem,CHEMBL3818073,=,=,Ki,nM,5642.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,5642.0,Cc1cc(N)nc(CCc2cncc(N3CCCCC3)c2)c1,-0.8720435024833953,AKRCKJOKFKEMIF,no_wikidata_match
AKRJZJHGIJJBLM-UHFFFAOYSA-N,,CHEMBL4380146,C=CCCNC(=N)NCCCCN,,CHEMBL4376856,J Med Chem,CHEMBL4544147,=,=,Inhibition,%,23.0,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,23.0,C=CCCNC(=N)NCCCCN,0.7592270502104229,AKRJZJHGIJJBLM,no_wikidata_match
ALJHQWBYLYVACP-UHFFFAOYSA-N,,CHEMBL1056369,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,,CHEMBL1152488,Eur J Med Chem,CHEMBL550511,=,=,Activity,%,73.0,CHEMBL3464,"Nitric oxide synthase, inducible",Activity,%,73.0,COc1ccc(C(=O)C2CN=C3C=C(C)C=CN3C2)cc1F.[O-][Cl+3]([O-])([O-])O,-0.4589474473725409,ALJHQWBYLYVACP,no_wikidata_match
AMDNXZDCGJLPCP-JGVFFNPUSA-N,,CHEMBL851343,NC1=Nc2c(Cl)cc(Cl)cc2[C@H]2CCC[C@@H]12,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL87968,=,=,Ratio,nM,7.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,7.0,NC1=Nc2c(Cl)cc(Cl)cc2[C@H]2CCC[C@@H]12,-0.3784110522628062,AMDNXZDCGJLPCP,no_wikidata_match
AMEMBWOWTMXVHT-QBKZBJQZSA-N,,CHEMBL2344057,Cc1cccc(C2CC2NCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1,,CHEMBL2331549,Bioorg Med Chem,CHEMBL2332792,=,=,Ki,nM,12000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,12.0,Cc1cccc(C2CC2NCCO[C@H]2CNC[C@H]2Cc2cc(C)cc(N)n2)c1,-0.256443273753625,AMEMBWOWTMXVHT,no_wikidata_match
AMPBKBPXEOLWSW-GXKRWWSZSA-N,,CHEMBL4153940,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)CCC(N)=O)c1.Cl.Cl,,CHEMBL4152230,Eur J Med Chem,CHEMBL4171037,>,>,IC50,nM,10000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,10.0,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)CCC(N)=O)c1.Cl.Cl,0.0304669884390291,AMPBKBPXEOLWSW,no_wikidata_match
AMRJLVLSJYMBDX-VHSXEESVSA-N,,CHEMBL851343,COc1ccc2c(c1)[C@H]1CCC[C@H]1C(N)=N2,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL85613,=,=,Ratio,nM,20.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,20.0,COc1ccc2c(c1)[C@H]1CCC[C@H]1C(N)=N2,0.1117042885580812,AMRJLVLSJYMBDX,no_wikidata_match
ANMIXQYGZDPTLJ-UHFFFAOYSA-N,,CHEMBL2343148,COc1cc(CCC(=O)O)oc(=O)c1,,CHEMBL2331431,J Nat Prod,CHEMBL2331727,>,>,IC50,nM,20000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,20.0,COc1cc(CCC(=O)O)oc(=O)c1,0.8349023209882,ANMIXQYGZDPTLJ,http://www.wikidata.org/entity/Q104085486
AOMXURITGZJPKB-UHFFFAOYSA-N,,CHEMBL850730,CCC/N=C(/N)NCCCC(N)C(=O)O,,CHEMBL1130243,J Med Chem,CHEMBL126713,=,=,Selectivity ratio,nM,3158.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity ratio,nM,3158.0,CCC/N=C(/N)NCCCC(N)C(=O)O,0.5904771641063201,AOMXURITGZJPKB,http://www.wikidata.org/entity/Q6951398
AOMXURITGZJPKB-ZETCQYMHSA-N,,CHEMBL1056359,CCCNC(=N)NCCC[C@H](N)C(=O)O,,CHEMBL1152488,Eur J Med Chem,CHEMBL107528,=,=,Activity,%,88.0,CHEMBL3464,"Nitric oxide synthase, inducible",Activity,%,88.0,CCCNC(=N)NCCC[C@H](N)C(=O)O,0.5127973361234532,AOMXURITGZJPKB,http://www.wikidata.org/entity/Q27088088
APKCAWUHKKJFRX-UHFFFAOYSA-N,,CHEMBL832387,CCC1N=C(N)CC1C,,CHEMBL1137191,Bioorg Med Chem Lett,CHEMBL185024,=,=,Ratio,uM,4.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,4.0,CCC1N=C(N)CC1C,0.5470039793117333,APKCAWUHKKJFRX,no_wikidata_match
AQFHFNHZQKRGMW-FXAWDEMLSA-N,,CHEMBL957512,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NCCOCCc2cccc(F)c2)c1,,CHEMBL1153945,Bioorg Med Chem,CHEMBL512136,=,=,Ki,nM,4000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,4.0,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NCCOCCc2cccc(F)c2)c1,-0.684118713263026,AQFHFNHZQKRGMW,no_wikidata_match
AQLBEZWXOMWPSR-RBYMTXCUSA-N,,CHEMBL2343148,CCOC(=O)CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,,CHEMBL2331431,J Nat Prod,CHEMBL2331731,=,=,IC50,nM,10800.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,10.8,CCOC(=O)CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O,2.8738144513627457,AQLBEZWXOMWPSR,http://www.wikidata.org/entity/Q115971770
AQPVLOBEWYHDKK-UHFFFAOYSA-N,,CHEMBL1955555,CC1(C)SC(c2ccccc2N)=NN1C(=O)C1CCCCC1,,CHEMBL1949563,Eur J Med Chem,CHEMBL1951520,=,=,Inhibition,%,28.0,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,28.0,CC1(C)SC(c2ccccc2N)=NN1C(=O)C1CCCCC1,-0.5445410752795228,AQPVLOBEWYHDKK,no_wikidata_match
ARDHMGLGQQTAQP-LBPRGKRZSA-N,,CHEMBL699600,N/C(=N\CCC[C@H](N)CNCc1ccc(N)cc1)N[N+](=O)[O-],Outside typical range,CHEMBL1136776,J Med Chem,CHEMBL44964,=,=,Ki,nM,326000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,326.0,N/C(=N\CCC[C@H](N)CNCc1ccc(N)cc1)N[N+](=O)[O-],-0.0648566956466227,ARDHMGLGQQTAQP,no_wikidata_match
ARLMOCASJYQODY-UHFFFAOYSA-N,,CHEMBL1806050,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2cccc(F)c2[nH]1,,CHEMBL1800057,J Med Chem,CHEMBL1801062,=,=,EC50,nM,3300.0,CHEMBL3464,"Nitric oxide synthase, inducible",EC50,uM,3.3,O=c1cc(Cn2c(C3CC(F)(F)C3)nc3nccnc32)c2cccc(F)c2[nH]1,-0.9858206480127212,ARLMOCASJYQODY,no_wikidata_match
ARVXEXLSTYBDRT-UHFFFAOYSA-N,,CHEMBL840777,Br.Br.CNCc1ccc(NC(C)=N)cc1,,CHEMBL1131040,J Med Chem,CHEMBL539793,=,=,Selectivity,nM,44.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,44.0,Br.Br.CNCc1ccc(NC(C)=N)cc1,-0.2271088024165933,ARVXEXLSTYBDRT,no_wikidata_match
ASCIWHQKWHDNRB-UHFFFAOYSA-N,,CHEMBL700506,CN(C)CCOc1ccc(-c2cccc(N)n2)c2c1CCC2,,CHEMBL1149107,J Med Chem,CHEMBL43678,=,=,IC50,nM,592.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,592.0,CN(C)CCOc1ccc(-c2cccc(N)n2)c2c1CCC2,-0.3965088878864727,ASCIWHQKWHDNRB,no_wikidata_match
ASEXKKILYOLIGZ-UHFFFAOYSA-N,,CHEMBL3592389,CC(=N)NCc1cccc(CNC(=O)CC(=O)O)c1,,CHEMBL3588792,ACS Med Chem Lett,CHEMBL3589086,>,>,IC50,nM,10000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,10.0,CC(=N)NCc1cccc(CNC(=O)CC(=O)O)c1,-0.0084637138194105,ASEXKKILYOLIGZ,no_wikidata_match
ASLZDSGYTVWLOQ-UHFFFAOYSA-N,,CHEMBL665580,C#CC1Cc2ccsc2C(N)=N1,,CHEMBL1134021,Bioorg Med Chem Lett,CHEMBL8292,=,=,IC50,nM,40.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,0.04,C#CC1Cc2ccsc2C(N)=N1,-0.5904636267753167,ASLZDSGYTVWLOQ,no_wikidata_match
ATFLPTYPJMUSTK-UHFFFAOYSA-N,,CHEMBL699603,CCCC/N=C(/N)NOCc1ccccc1,,CHEMBL1145002,J Med Chem,CHEMBL72632,<,<,NO formation,%,0.5,CHEMBL3464,"Nitric oxide synthase, inducible",NO formation,%,0.5,CCCC/N=C(/N)NOCc1ccccc1,-0.3042707435299,ATFLPTYPJMUSTK,no_wikidata_match
ATHLQWRHZJQYBB-QFBILLFUSA-N,,CHEMBL957512,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NC(=O)CNCCc2cccc(F)c2)c1,,CHEMBL1153945,Bioorg Med Chem,CHEMBL470193,=,=,Ki,nM,5400.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,5.4,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NC(=O)CNCCc2cccc(F)c2)c1,-0.9256027480663748,ATHLQWRHZJQYBB,no_wikidata_match
AUEPGFAHZYOVPF-UHFFFAOYSA-N,,CHEMBL3592389,CC(=N)NCc1cccc(CN(Cc2ccc([N+](=O)[O-])cc2)Cc2ccc([N+](=O)[O-])cc2)c1,,CHEMBL3588792,ACS Med Chem Lett,CHEMBL3589093,=,=,IC50,nM,500.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,0.5,CC(=N)NCc1cccc(CN(Cc2ccc([N+](=O)[O-])cc2)Cc2ccc([N+](=O)[O-])cc2)c1,-0.7954443748742969,AUEPGFAHZYOVPF,no_wikidata_match
AUXONFIRNMUVRW-UHFFFAOYSA-N,,CHEMBL2401460,Nc1ccccc1C1=NN(C(=O)Cc2ccccc2)CC1,,CHEMBL2396629,Bioorg Med Chem,CHEMBL2397628,=,=,Inhibition,%,2.31,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,2.31,Nc1ccccc1C1=NN(C(=O)Cc2ccccc2)CC1,-0.8414559719908192,AUXONFIRNMUVRW,no_wikidata_match
AVOVERVPDMHXIG-IBGZPJMESA-N,,CHEMBL1918240,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(C)cc1,,CHEMBL1914395,Bioorg Med Chem,CHEMBL1915156,=,=,Survival,%,116.1,CHEMBL3464,"Nitric oxide synthase, inducible",Survival,%,116.1,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(C)cc1,-0.9159489351693738,AVOVERVPDMHXIG,no_wikidata_match
AVOVERVPDMHXIG-LJQANCHMSA-N,,CHEMBL1918240,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(C)cc1,,CHEMBL1914395,Bioorg Med Chem,CHEMBL1915158,=,=,Survival,%,91.4,CHEMBL3464,"Nitric oxide synthase, inducible",Survival,%,91.4,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(C)cc1,-0.9159489351693738,AVOVERVPDMHXIG,no_wikidata_match
AVQUEPVPLWZPMB-UHFFFAOYSA-N,,CHEMBL3587005,CNCCN(C)c1cccc(CCc2cc(C)cc(N)n2)n1,,CHEMBL3585280,J Med Chem,CHEMBL3586660,=,=,Ki,nM,4845.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,4845.0,CNCCN(C)c1cccc(CCc2cc(C)cc(N)n2)n1,-0.704935101291891,AVQUEPVPLWZPMB,http://www.wikidata.org/entity/Q27465391
AVSLEVRGBLDVTH-UHFFFAOYSA-N,,CHEMBL1955555,CC1(C)SC(c2cc(Cl)ccc2N)=NN1C(=O)C1CC1,,CHEMBL1949563,Eur J Med Chem,CHEMBL1951509,=,=,Inhibition,%,23.23,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,23.23,CC1(C)SC(c2cc(Cl)ccc2N)=NN1C(=O)C1CC1,-0.877577296791175,AVSLEVRGBLDVTH,no_wikidata_match
AXHHNWVDJRCUIZ-UHFFFAOYSA-N,,CHEMBL831308,CC1CC(N)=Nc2ccccc21,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL192033,=,=,Selectivity,nM,0.25,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,nM,0.25,CC1CC(N)=Nc2ccccc21,0.2984046858428666,AXHHNWVDJRCUIZ,no_wikidata_match
AXIFNPRFDIZFNM-YNFACUOGSA-N,,CHEMBL2343148,CCOC(=O)CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,,CHEMBL2331431,J Nat Prod,CHEMBL2331732,>,>,IC50,nM,20000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,20.0,CCOC(=O)CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,2.4932998425198885,AXIFNPRFDIZFNM,http://www.wikidata.org/entity/Q77279745
AXJXOVDIHVWZQX-UHFFFAOYSA-N,,CHEMBL1955555,CC(=O)N1N=C(c2cc(Cl)ccc2N)SC1(C)C,,CHEMBL1949563,Eur J Med Chem,CHEMBL1951505,=,=,Inhibition,%,72.8,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,72.8,CC(=O)N1N=C(c2cc(Cl)ccc2N)SC1(C)C,-0.7713094352116389,AXJXOVDIHVWZQX,no_wikidata_match
AYPJJECBXSRFII-UHFFFAOYSA-N,,CHEMBL834177,[N-]=[N+]=C(c1ccc(C(=O)OCc2cnc3nc(N)nc(O)c3n2)cc1)C(F)(F)F,Outside typical range,CHEMBL1140327,J Med Chem,CHEMBL364546,=,=,Selectivity,nM,11.8,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,11.8,[N-]=[N+]=C(c1ccc(C(=O)OCc2cnc3nc(N)nc(O)c3n2)cc1)C(F)(F)F,-0.473774128941655,AYPJJECBXSRFII,no_wikidata_match
AYSDOKDTTQGSIU-UHFFFAOYSA-N,,CHEMBL848735,Cc1cc(N)nc(CCCc2ccccc2)c1,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL61139,=,=,Selectivity,nM,1.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,1.4,Cc1cc(N)nc(CCCc2ccccc2)c1,-0.3290035502442471,AYSDOKDTTQGSIU,no_wikidata_match
AYUYENSLGNCAKQ-UHFFFAOYSA-N,,CHEMBL1767575,Cc1cc(N)nc(CCc2ccc(CCc3cc(C)cc(N)n3)cc2)c1,,CHEMBL1764947,J Med Chem,CHEMBL1766631,=,=,Ki,nM,2410.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,2410.0,Cc1cc(N)nc(CCc2ccc(CCc3cc(C)cc(N)n3)cc2)c1,-0.1749385326093461,AYUYENSLGNCAKQ,no_wikidata_match
AZNNPSMXKKWOPY-UHFFFAOYSA-N,,CHEMBL878597,N/C1=N/CCCCCC1,,CHEMBL1129751,J Med Chem,CHEMBL329431,=,=,IC50,nM,10000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,10.0,N/C1=N/CCCCCC1,0.1542702535469222,AZNNPSMXKKWOPY,no_wikidata_match
