activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,inchikey,np_score,short_inchikey,wikidata_id
,CHEMBL852582,NCC[C@H](NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])C(=O)O,,CHEMBL1133106,J Med Chem,CHEMBL420637,=,=,Ratio,,43.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,43.0,NCC[C@H](NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])C(=O)O,BATAYPXSEOMBHC-BQBZGAKWSA-N,0.6156726660521227,BATAYPXSEOMBHC,no_wikidata_match
,CHEMBL831308,C[C@@H]1CC(N)=N[C@@H]2CCCCC[C@H]12,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL190655,=,=,Selectivity,,1.5,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,1.5,C[C@@H]1CC(N)=N[C@@H]2CCCCC[C@H]12,BFSHJUMYVDDDRE-OPRDCNLKSA-N,0.6670539213956999,BFSHJUMYVDDDRE,no_wikidata_match
,CHEMBL840781,N/C(=N/CCC[C@H](N)CNc1cccnc1)N[N+](=O)[O-],,CHEMBL1145940,J Med Chem,CHEMBL154451,=,=,Selectivity,,256.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,256.0,N/C(=N/CCC[C@H](N)CNc1cccnc1)N[N+](=O)[O-],BIAYVIUVFRKNKQ-VIFPVBQESA-N,-0.32292127257182496,BIAYVIUVFRKNKQ,no_wikidata_match
,CHEMBL851343,Cc1ccc2c(c1)[C@H]1CCC[C@H]1C(N)=N2,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL83569,=,=,Ratio,,24.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,24.0,Cc1ccc2c(c1)[C@H]1CCC[C@H]1C(N)=N2,BIFBTDYKRCRVRC-VHSXEESVSA-N,-0.036035031886246655,BIFBTDYKRCRVRC,no_wikidata_match
,CHEMBL832387,CCC1CN=C(N)C1C,,CHEMBL1137191,Bioorg Med Chem Lett,CHEMBL184798,=,=,Ratio,uM,0.65,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,0.65,CCC1CN=C(N)C1C,BIWSZTWZJHYWGX-UHFFFAOYSA-N,0.9399143932023999,BIWSZTWZJHYWGX,no_wikidata_match
,CHEMBL1227496,NC1=NC(CCNC(=O)c2ccoc2)Nc2c(F)ccc(F)c21,,CHEMBL1221218,Nat Chem Biol,CHEMBL1221608,=,=,Ratio IC50,,2.7,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,,2.7,NC1=NC(CCNC(=O)c2ccoc2)Nc2c(F)ccc(F)c21,BOAUWUUBSXECNL-UHFFFAOYSA-N,-0.6847586469359953,BOAUWUUBSXECNL,no_wikidata_match
,CHEMBL848735,Cc1cc(C)nc(N)c1,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL59925,=,=,Selectivity,,0.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,0.4,Cc1cc(C)nc(N)c1,BRBUBVKGJRPRRD-UHFFFAOYSA-N,-0.5306017089877333,BRBUBVKGJRPRRD,http://www.wikidata.org/entity/Q72436375
,CHEMBL840777,Br.Br.CC(=N)Nc1ccc(CN(C)C)cc1,,CHEMBL1131040,J Med Chem,CHEMBL554201,=,=,Selectivity,,36.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,36.0,Br.Br.CC(=N)Nc1ccc(CN(C)C)cc1,BUWHTWAGPYSQFK-UHFFFAOYSA-N,-0.9351642375141812,BUWHTWAGPYSQFK,no_wikidata_match
,CHEMBL847293,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,,CHEMBL1131100,J Med Chem,CHEMBL545059,=,=,Ratio,,11.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,11.0,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,BWGVYBXEGKLGDG-UHFFFAOYSA-N,0.2085024105712875,BWGVYBXEGKLGDG,no_wikidata_match
,CHEMBL847293,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,,CHEMBL1131100,J Med Chem,CHEMBL545059,=,=,Ratio,,1.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,1.0,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,BWGVYBXEGKLGDG-UHFFFAOYSA-N,0.2085024105712875,BWGVYBXEGKLGDG,no_wikidata_match
,CHEMBL847293,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,,CHEMBL1131100,J Med Chem,CHEMBL545059,=,=,Ratio,,6.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,6.0,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,BWGVYBXEGKLGDG-UHFFFAOYSA-N,0.2085024105712875,BWGVYBXEGKLGDG,no_wikidata_match
,CHEMBL847293,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,,CHEMBL1131100,J Med Chem,CHEMBL545059,=,=,Ratio,,7.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,7.0,CCCCCC1N=C(N)CC1C(F)(F)F.Cl,BWGVYBXEGKLGDG-UHFFFAOYSA-N,0.2085024105712875,BWGVYBXEGKLGDG,no_wikidata_match
,CHEMBL840777,Br.Br.CC(=N)Nc1ccc(CNO)cc1,,CHEMBL1131040,J Med Chem,CHEMBL538021,=,=,Selectivity,,3.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,3.0,Br.Br.CC(=N)Nc1ccc(CNO)cc1,BWNBLBZETHTYKX-UHFFFAOYSA-N,-0.32010554370666006,BWNBLBZETHTYKX,no_wikidata_match
,CHEMBL848735,Nc1nccc2c1CCCC2,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL59350,=,=,Selectivity,,0.8,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,0.8,Nc1nccc2c1CCCC2,BYRNCZBYTWGXGK-UHFFFAOYSA-N,0.3023430147660273,BYRNCZBYTWGXGK,http://www.wikidata.org/entity/Q82469419
,CHEMBL848737,Nc1nccc2c1CCCC2,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL59350,=,=,Selectivity,,0.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,0.4,Nc1nccc2c1CCCC2,BYRNCZBYTWGXGK-UHFFFAOYSA-N,0.3023430147660273,BYRNCZBYTWGXGK,http://www.wikidata.org/entity/Q82469419
,CHEMBL1960200,CN1CC=C(c2c[nH]c3ccc(NC(=N)c4ccco4)cc23)CC1.Cl.Cl,,CHEMBL1955728,Bioorg Med Chem Lett,CHEMBL3216551,=,=,Ratio IC50,,106.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,,106.0,CN1CC=C(c2c[nH]c3ccc(NC(=N)c4ccco4)cc23)CC1.Cl.Cl,CAIIYVGKPOHHBC-UHFFFAOYSA-N,-0.7108126518340079,CAIIYVGKPOHHBC,no_wikidata_match
,CHEMBL852582,NCCNC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-],,CHEMBL1133106,J Med Chem,CHEMBL88267,=,=,Ratio,,185.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,185.0,NCCNC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-],CDCIRTDHJSJFDZ-LURJTMIESA-N,0.2409872421979556,CDCIRTDHJSJFDZ,no_wikidata_match
,CHEMBL838498,NCCNC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-],,CHEMBL1134555,J Med Chem,CHEMBL88267,=,=,Selectivity,,185.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,185.0,NCCNC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-],CDCIRTDHJSJFDZ-LURJTMIESA-N,0.2409872421979556,CDCIRTDHJSJFDZ,no_wikidata_match
,CHEMBL1960200,CSC(=N)Nc1ccc2[nH]cc(C3=CCN(C)CC3)c2c1.Cl.Cl,,CHEMBL1955728,Bioorg Med Chem Lett,CHEMBL3215881,=,=,Ratio IC50,,8.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,,8.0,CSC(=N)Nc1ccc2[nH]cc(C3=CCN(C)CC3)c2c1.Cl.Cl,CINUDKWNXFXLOI-UHFFFAOYSA-N,-0.6068688953191607,CINUDKWNXFXLOI,no_wikidata_match
,CHEMBL845032,CCCC1CCCC(N)=N1,,CHEMBL1131208,J Med Chem,CHEMBL6760,=,=,Selectivity,,2.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,2.0,CCCC1CCCC(N)=N1,CISAVHFVACXGDG-UHFFFAOYSA-N,0.8311335172301503,CISAVHFVACXGDG,no_wikidata_match
,CHEMBL882580,CCCCC[C@H]1NC(=N)[C@@H](O)[C@H]1C.Cl,,CHEMBL1134975,Bioorg Med Chem Lett,CHEMBL114534,=,=,Selectivity,,35.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,35.0,CCCCC[C@H]1NC(=N)[C@@H](O)[C@H]1C.Cl,CKXJKBHWSIZACH-HBJOHWKNSA-N,1.1176778427249074,CKXJKBHWSIZACH,no_wikidata_match
,CHEMBL848735,Cc1ccc(N)nc1,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL61990,=,=,Selectivity,,5.2,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,5.2,Cc1ccc(N)nc1,CMBSSVKZOPZBKW-UHFFFAOYSA-N,-0.13782868006507498,CMBSSVKZOPZBKW,http://www.wikidata.org/entity/Q27271041
,CHEMBL2346199,CN(C)CCOc1ccc(-c2cccc(N)n2)c2c1CCCC2,,CHEMBL2331315,J Med Chem,CHEMBL43815,=,=,Ratio IC50,,10.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,,10.0,CN(C)CCOc1ccc(-c2cccc(N)n2)c2c1CCCC2,CNRQNFFMXHNVBU-UHFFFAOYSA-N,-0.36653658034045217,CNRQNFFMXHNVBU,no_wikidata_match
,CHEMBL848155,CNCc1ccc2c(c1)N=C(N)[C@]1(F)CCC[C@H]21,,CHEMBL1137842,Bioorg Med Chem Lett,CHEMBL354230,=,=,Selectivity,,2.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,2.0,CNCc1ccc2c(c1)N=C(N)[C@]1(F)CCC[C@H]21,CPOOHEFDLFLVBA-RISCZKNCSA-N,0.42479897102751646,CPOOHEFDLFLVBA,no_wikidata_match
,CHEMBL752278,CC(=N)NCCCCCC(N)C(=O)O,,CHEMBL1133154,Bioorg Med Chem Lett,CHEMBL127739,>,>,Ratio,,5.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,5.0,CC(=N)NCCCCCC(N)C(=O)O,CQIZIZXOTXHJNR-UHFFFAOYSA-N,1.1856700347402713,CQIZIZXOTXHJNR,no_wikidata_match
,CHEMBL851343,Cc1ccc2c(c1)N=C(N)[C@@H]1CCC[C@H]21,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL315967,=,=,Ratio,,6.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,6.0,Cc1ccc2c(c1)N=C(N)[C@@H]1CCC[C@H]21,CROWINHTEQAOOL-MWLCHTKSSA-N,0.014569122131686667,CROWINHTEQAOOL,no_wikidata_match
,CHEMBL840182,COC(=O)[C@@H](CCC/N=C(/N)N[N+](=O)[O-])NC(=O)[C@H](N)Cc1ccccc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,,CHEMBL1130132,J Med Chem,CHEMBL1788374,=,=,Selectivity,,1800.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,1800.0,COC(=O)[C@@H](CCC/N=C(/N)N[N+](=O)[O-])NC(=O)[C@H](N)Cc1ccccc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CTKCGXYXJOKDSX-SNFSYSBXSA-N,0.0812350098577537,CTKCGXYXJOKDSX,no_wikidata_match
,CHEMBL845032,CCC1CCN=C(N)C1,,CHEMBL1131208,J Med Chem,CHEMBL6813,=,=,Selectivity,,0.6,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,0.6,CCC1CCN=C(N)C1,CTTYZHUIOUHYSM-UHFFFAOYSA-N,0.23266183808492225,CTTYZHUIOUHYSM,no_wikidata_match
,CHEMBL848155,NC1=Nc2c(ccc(F)c2F)[C@H]2CCC[C@@H]12,,CHEMBL1137842,Bioorg Med Chem Lett,CHEMBL86961,=,=,Selectivity,,8.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,8.0,NC1=Nc2c(ccc(F)c2F)[C@H]2CCC[C@@H]12,CXBOTECYGADDIW-HTRCEHHLSA-N,-0.47638137679924386,CXBOTECYGADDIW,no_wikidata_match
,CHEMBL851343,NC1=Nc2c(ccc(F)c2F)[C@H]2CCC[C@@H]12,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL86961,=,=,Ratio,,8.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,8.0,NC1=Nc2c(ccc(F)c2F)[C@H]2CCC[C@@H]12,CXBOTECYGADDIW-HTRCEHHLSA-N,-0.47638137679924386,CXBOTECYGADDIW,no_wikidata_match
,CHEMBL882580,CCCCC[C@H]1N=C(N)[C@H](O)[C@H]1C,,CHEMBL1134975,Bioorg Med Chem Lett,CHEMBL321446,=,=,Selectivity,,4.9,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,4.9,CCCCC[C@H]1N=C(N)[C@H](O)[C@H]1C,DBFJQSOVVMBTEE-DJLDLDEBSA-N,1.1780683242618923,DBFJQSOVVMBTEE,no_wikidata_match
,CHEMBL882580,CCCCC[C@@H]1N=C(N)[C@H](O)[C@@H]1C,,CHEMBL1134975,Bioorg Med Chem Lett,CHEMBL116162,=,=,Selectivity,,18.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,18.0,CCCCC[C@@H]1N=C(N)[C@H](O)[C@@H]1C,DBFJQSOVVMBTEE-HRDYMLBCSA-N,1.1780683242618923,DBFJQSOVVMBTEE,no_wikidata_match
,CHEMBL882580,CCCCC[C@@H]1N=C(N)[C@@H](O)[C@@H]1C,,CHEMBL1134975,Bioorg Med Chem Lett,CHEMBL327133,=,=,Selectivity,,11.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,11.0,CCCCC[C@@H]1N=C(N)[C@@H](O)[C@@H]1C,DBFJQSOVVMBTEE-VGMNWLOBSA-N,1.1780683242618923,DBFJQSOVVMBTEE,no_wikidata_match
,CHEMBL840777,Br.Br.CC(=N)Nc1ccc(CSC(=N)N)cc1,,CHEMBL1131040,J Med Chem,CHEMBL544317,=,=,Selectivity,,11.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,11.0,Br.Br.CC(=N)Nc1ccc(CSC(=N)N)cc1,DBVDAXVZQPZSCO-UHFFFAOYSA-N,-0.8315802592383763,DBVDAXVZQPZSCO,no_wikidata_match
,CHEMBL5117111,Cc1cc(N)nc(CCCCN(C)C)c1,,CHEMBL5113456,Bioorg Med Chem,CHEMBL5186489,=,=,Ratio Ki,,132.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio Ki,,132.0,Cc1cc(N)nc(CCCCN(C)C)c1,DBXKFDZMVGIZFJ-UHFFFAOYSA-N,-0.6038892012605868,DBXKFDZMVGIZFJ,no_wikidata_match
,CHEMBL5046509,COC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccc(Cl)c(Cl)c1,,CHEMBL5046219,J Med Chem,CHEMBL5077818,=,=,Ratio IC50,,151.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,,151.0,COC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccc(Cl)c(Cl)c1,DCQQTQXAUPOOLH-VMSUTVGLSA-N,-0.460740768170864,DCQQTQXAUPOOLH,no_wikidata_match
,CHEMBL752278,CC(=N)NCCS(=O)(=O)C[C@@H](N)C(=O)O,,CHEMBL1133154,Bioorg Med Chem Lett,CHEMBL154895,=,=,Ratio,,78.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,78.0,CC(=N)NCCS(=O)(=O)C[C@@H](N)C(=O)O,DDGULJZAQPDKQZ-ZCFIWIBFSA-N,0.1684399423516534,DDGULJZAQPDKQZ,no_wikidata_match
,CHEMBL832387,CC1CCC(N)=N1,,CHEMBL1137191,Bioorg Med Chem Lett,CHEMBL182305,=,=,Ratio,uM,2.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,2.3,CC1CCC(N)=N1,DDQFWSHGBVMBEM-UHFFFAOYSA-N,0.5870268032603713,DDQFWSHGBVMBEM,no_wikidata_match
,CHEMBL840777,CC(=N)Nc1ccc(CN)cc1.Cl.Cl,,CHEMBL1131040,J Med Chem,CHEMBL542432,=,=,Selectivity,,50.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,50.0,CC(=N)Nc1ccc(CN)cc1.Cl.Cl,DGXUEIOIVFJBFE-UHFFFAOYSA-N,-0.3115263897801,DGXUEIOIVFJBFE,no_wikidata_match
,CHEMBL845032,N=C1CCCCN1,,CHEMBL1131208,J Med Chem,CHEMBL269058,=,=,Selectivity,,1.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,1.0,N=C1CCCCN1,DHGUMNJVFYRSIG-UHFFFAOYSA-N,0.21463670137917143,DHGUMNJVFYRSIG,http://www.wikidata.org/entity/Q27453028
,CHEMBL831308,N=C1CCCCN1,,CHEMBL1143520,Bioorg Med Chem Lett,CHEMBL269058,=,=,Selectivity,,8.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,8.0,N=C1CCCCN1,DHGUMNJVFYRSIG-UHFFFAOYSA-N,0.21463670137917143,DHGUMNJVFYRSIG,http://www.wikidata.org/entity/Q27453028
,CHEMBL848155,NC1=Nc2ccccc2[C@H]2CCC[C@@H]12,,CHEMBL1137842,Bioorg Med Chem Lett,CHEMBL61969,=,=,Selectivity,,17.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,17.0,NC1=Nc2ccccc2[C@H]2CCC[C@@H]12,DMSOWJWPMAVFDY-PSASIEDQSA-N,0.13186998697814994,DMSOWJWPMAVFDY,no_wikidata_match
,CHEMBL702712,NC1=Nc2ccccc2[C@H]2CCC[C@@H]12,,CHEMBL1136534,Bioorg Med Chem Lett,CHEMBL61969,=,=,Selectivity,,17.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,17.0,NC1=Nc2ccccc2[C@H]2CCC[C@@H]12,DMSOWJWPMAVFDY-PSASIEDQSA-N,0.13186998697814994,DMSOWJWPMAVFDY,no_wikidata_match
,CHEMBL851343,NC1=Nc2ccccc2[C@H]2CCC[C@@H]12,,CHEMBL1135323,Bioorg Med Chem Lett,CHEMBL61969,=,=,Ratio,,17.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,,17.0,NC1=Nc2ccccc2[C@H]2CCC[C@@H]12,DMSOWJWPMAVFDY-PSASIEDQSA-N,0.13186998697814994,DMSOWJWPMAVFDY,no_wikidata_match
,CHEMBL4346022,Cc1cc(N)nc2cc(-c3ccc(CN)cc3)ccc12.Cl.Cl,,CHEMBL4342518,J Med Chem,CHEMBL4522356,=,=,Ratio Ki,,79.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio Ki,,79.0,Cc1cc(N)nc2cc(-c3ccc(CN)cc3)ccc12.Cl.Cl,DNMFGAGUZLYUHT-UHFFFAOYSA-N,-0.26760094458910905,DNMFGAGUZLYUHT,no_wikidata_match
